codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6009,156263,"Requer o desarquivamento do PLC nº 130/2018, que “dispõe sobre a realização de exames em gestantes”.",Não,2023,RQS
6009,164707,"Requer urgência para o Projeto de Resolução do Senado nº 20/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6009,164239,"Requer urgência para o Substitutivo da Câmara dos Deputados n° 6/2016, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
6009,164610,"Requer urgência para o Projeto de Decreto Legislativo nº 307/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
6009,164393,"Requer urgência para o Projeto de Lei nº 292/2020, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6009,164607,"Requer urgência para o Projeto de Decreto Legislativo nº 266/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
6009,159989,"Requer, nos termos do inciso IV e § 7º do art. 154 do Regimento Interno do Senado Federal, a realização de Sessão de Debates Temáticos, a ser realizada em data oportuna, a fim de debater os fenômenos climáticos como o 'ELNiño' e os desastres naturais cada vez mais frequentes no País e analisar propostas que tenham capacidade de aprimorar ferramentas de prevenção e reação por parte da sociedade e dos órgãos de Estado e de Defesa Civil, a fim de diminuir os efeitos nefastos e traumáticos causados pelos desastres naturais, como os que aconteceram e ainda assolam nossos irmãos gaúchos.",Não,2023,RQS
6009,159357,"Requer, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, urgência para o PL 2796/2021.",Não,2023,RQS
6009,159716,"Requer, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal, urgência para o PRS 32/2023.",Sim,2023,RQS
6009,162070,Requer a realização de Sessão Especial destinada a celebrar o Dia do Jovem Candango e os 11 anos do Programa Jovem Candango.,Não,2024,RQS
6009,162071,"Requer a realização de Sessão Especial destinada a celebrar, em 15 de outubro de 2024, o bicentenário da Magistratura de Paz no Brasil, bem como reconhecer e valorizar o esforço laboral dos Juízes de Paz, cuja atuação desempenha papel de fundamental relevância na administração da justiça.",Não,2024,RQS
6009,162443,Requer a retirada de tramitação do REQ 99/2024 - CDIR.,Sim,2024,REQ
6009,162704,Requer a realização de Sessão Especial destinada a celebrar os 45 anos do Sindicato das Entidades Mantenedoras de Estabelecimentos de Ensino Superior no Estado de São Paulo (SEMESP).,Não,2024,RQS
6009,164398,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater o impacto e a governança das ações do FNDCT após a liberação total dos recursos.",Sim,2024,REQ
6009,163553,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 19/2024 - CI, com o objetivo de instruir o PL 528/2020, que “dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV),o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014”, seja incluído como convidado um representante Agência Nacional de Aviação Civil - ANAC.",Sim,2024,REQ
6009,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6009,162080,Requer a realização de Sessão Especial destinada a celebrar os 100 anos de fundação da Sociedade Brasileira de Eubiose.,Não,2024,RQS
6009,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6009,162936,"Requer licença para desempenhar missão oficial, a fim de participar do First Robotics Competition, em Houston, Estados Unidos da América.",Sim,2024,REQ
6009,162264,Licença para missão no meu estado.,Sim,2024,REQ
6009,163215,"Requer a constituição de uma Comissão Temporária Externa composta de 11 (onze) membros titulares para, no prazo de 120 (cento e vinte) dias, acompanhar investigação da Câmara dos Representantes dos Estados Unidos da América (United States House of Representatives) sobre denúncias oferecidas pelo empresário Elon Musk e a empresa X (antigo Twitter) acerca de possíveis violações de preceitos fundamentais da Constituição Federal e de ameaças a direitos e garantias individuais que estariam tendo lugar em nosso país.",Não,2024,RQS
6009,163289,Requer a realização de Sessão Especial destinada a homenagear os Servidores Públicos do Senado Federal.,Não,2024,RQS
6009,163433,Inscreve o nome de Alberto Martins Torres no Livro dos Heróis e Heroínas da Pátria.,Sim,2024,PL
6009,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6009,164300,Institui a Frente Parlamentar Católica Apostólica Romana.,Sim,2024,PRS
6009,163551,Requer realização de Audiência Pública para Análise Técnica das Causas e Respostas ao Desastre Climático no Rio Grande do Sul,Sim,2024,REQ
6009,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Não,2024,RQS
6009,163152,"Requer voto de aplauso aos Professores Doutores Silvano Raia e Mayana Zatz, bem como ao Doutor Leonardo Riella, pelas contribuições, de maneira pioneira, para o desenvolvimento e a aplicação do xenotransplante, respectivamente, no Brasil e nos Estados Unidos.",Sim,2024,RQS
6009,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
6009,164267,Requer licença para missão no Estado.,Sim,2024,REQ
6009,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
6009,163138,"Requer voto de aplauso aos Professores Doutores Silvano Raia e Mayana Zatz, bem como ao Doutor Leonardo Riella, pelas contribuições, de maneira pioneira, para o desenvolvimento e a aplicação do xenotransplante, respectivamente, no Brasil e nos Estados Unidos.",Sim,2024,RQS
